material,geometry,model,qe_pair,ml_pair,gamma_overlap_squared,q_overlap_squared,gamma_subspace_dimension,q_subspace_dimension,comparison_level,raw_qe_status,qe_abs_phi122,qe_phi1122,ml_abs_phi122,ml_phi1122
mos2,model_relaxed,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9999999854169932,0.9979794966575227,1,1,directional_reference,recovered_real_coordinate_fit,106.13408735786474,8.453436797996394,88.88375418526701,13.51990991709262
mos2,model_relaxed,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9999999854169932,0.9995581502911368,1,1,directional_reference,recovered_real_coordinate_fit,98.76601380339066,8.554010690251433,83.03484235490977,7.605727838010501
mos2,model_relaxed,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9999999854169932,0.9999350015469416,1,1,directional_reference,recovered_real_coordinate_fit,78.02281895945994,9.81369290674895,69.11882672991014,11.71625876913332
mos2,model_relaxed,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9999999854169932,0.999043200878577,1,1,directional_reference,recovered_real_coordinate_fit,74.29895723998388,4.190064861633541,58.564104352677425,6.910674426020669
mos2,model_relaxed,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9999999854169932,0.9992842450365532,1,1,directional_reference,recovered_real_coordinate_fit,67.77577718712004,1.6407687933034638,62.731933593748984,3.1638632015312806
mos2,model_relaxed,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9999999567713265,0.9962299622095939,1,1,directional_reference,recovered_real_coordinate_fit,106.13408735786474,8.453436797996394,89.41999162946337,13.641980229592399
mos2,model_relaxed,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9999999567713265,0.9982732500668575,1,1,directional_reference,recovered_real_coordinate_fit,98.76601380339066,8.554010690251433,84.16050502232031,7.379025829081565
mos2,model_relaxed,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,0.9999999567713265,0.9944924108432767,1,2,directional_reference,recovered_real_coordinate_fit,78.02281895945994,9.81369290674895,68.82062639508844,11.72622369260215
mos2,model_relaxed,prophet,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9999999567713265,0.9987187362891831,1,1,directional_reference,recovered_real_coordinate_fit,74.29895723998388,4.190064861633541,58.56410435267765,6.990393813775753
mos2,model_relaxed,prophet,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9999999567713265,0.9966298201327118,1,1,directional_reference,recovered_real_coordinate_fit,67.77577718712004,1.6407687933034638,62.765066964284635,3.0393016581633514
mos2,model_relaxed,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9999999976956966,0.996856544730775,1,1,directional_reference,recovered_real_coordinate_fit,106.13408735786474,8.453436797996394,88.71983119419733,13.325593909439215
mos2,model_relaxed,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9999999976956966,0.9988411092108298,1,1,directional_reference,recovered_real_coordinate_fit,98.76601380339066,8.554010690251433,83.42372349330444,7.530990911990109
mos2,model_relaxed,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9999999976956966,0.9991393969073348,1,1,directional_reference,recovered_real_coordinate_fit,78.02281895945994,9.81369290674895,69.20776367187557,11.7262236926024
mos2,model_relaxed,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9999999976956966,0.9981318142570039,1,1,directional_reference,recovered_real_coordinate_fit,74.29895723998388,4.190064861633541,58.53097098214379,6.8658322704084345
mos2,model_relaxed,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9999999976956966,0.9969253544738197,1,1,directional_reference,recovered_real_coordinate_fit,67.77577718712004,1.6407687933034638,63.05803571428656,3.119021045919268
mos2,shared_dft,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.999999991296078,0.9998094736540953,1,1,directional_reference,recovered_real_coordinate_fit,106.13408735786474,8.453436797996394,98.75837053571543,16.357421874999943
mos2,shared_dft,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.999999991296078,0.9993797437287703,1,1,directional_reference,recovered_real_coordinate_fit,98.76601380339066,8.554010690251433,96.75205775669806,8.975904815052116
mos2,shared_dft,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.999999991296078,0.9999746548314454,1,1,directional_reference,recovered_real_coordinate_fit,78.02281895945994,9.81369290674895,81.34678431919744,13.684331154337205
mos2,shared_dft,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.999999991296078,0.9999993851824401,1,1,directional_reference,recovered_real_coordinate_fit,74.29895723998388,4.190064861633541,65.21519252232302,8.823939732143348
mos2,shared_dft,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.999999991296078,0.9995618482154099,1,1,directional_reference,recovered_real_coordinate_fit,67.77577718712004,1.6407687933034638,71.62039620535867,3.447863520408656
mos2,shared_dft,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9999999656264861,0.9989813207698959,1,1,directional_reference,recovered_real_coordinate_fit,106.13408735786474,8.453436797996394,98.9345005580364,16.28268494898122
mos2,shared_dft,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9999999656264861,0.9998924628915741,1,1,directional_reference,recovered_real_coordinate_fit,98.76601380339066,8.554010690251433,97.29178292410887,8.99832589285804
mos2,shared_dft,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m6,0.9999999656264861,0.9999505573698938,1,2,directional_reference,recovered_real_coordinate_fit,78.02281895945994,9.81369290674895,81.3310895647334,13.714225924745083
mos2,shared_dft,prophet,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9999999656264861,0.999984190409857,1,1,directional_reference,recovered_real_coordinate_fit,74.29895723998388,4.190064861633541,65.21868024553754,8.774115114794922
mos2,shared_dft,prophet,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9999999656264861,0.9968978170409497,1,1,directional_reference,recovered_real_coordinate_fit,67.77577718712004,1.6407687933034638,71.79652622768049,3.4528459821424606
mos2,shared_dft,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.999999988215245,0.999847135857367,1,1,directional_reference,recovered_real_coordinate_fit,106.13408735786474,8.453436797996394,98.61537388392973,16.33250956632687
mos2,shared_dft,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.999999988215245,0.9993373508568668,1,1,directional_reference,recovered_real_coordinate_fit,98.76601380339066,8.554010690251433,96.6666085379476,9.025729432398155
mos2,shared_dft,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.999999988215245,0.9994440380358189,1,1,directional_reference,recovered_real_coordinate_fit,78.02281895945994,9.81369290674895,81.33806501116146,13.694296077806367
mos2,shared_dft,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.999999988215245,0.999882274662223,1,1,directional_reference,recovered_real_coordinate_fit,74.29895723998388,4.190064861633541,65.19775390625162,8.744220344387156
mos2,shared_dft,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.999999988215245,0.9984843661402133,1,1,directional_reference,recovered_real_coordinate_fit,67.77577718712004,1.6407687933034638,71.77559988839435,3.5524952168377033
wse2,model_relaxed,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9998445556971985,0.9995567074014559,1,1,directional_reference,recovered_real_coordinate_fit,30.581270840938974,1.9043965254678332,26.15792410714245,3.2037228954083785
wse2,model_relaxed,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9998445556971985,0.9999015228031827,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,27.767677293480986,,22.65712193080315,1.3178611288265085
wse2,model_relaxed,tece,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9998445556971985,0.9999719375586561,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,22.478603522962032,,18.430001395088954,1.6815808354591484
wse2,model_relaxed,tece,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9998445556971985,0.997346238132077,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,21.19245643221083,,17.663574218749577,1.5894052933675962
wse2,model_relaxed,tece,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9998445556971985,0.999170171414596,1,2,directional_reference,archived_third_order_only_raw_grid_unavailable,19.853000984712573,,17.238071986606723,1.489756058673547
wse2,model_relaxed,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9998024245764656,0.9963850365250293,3,2,directional_reference,recovered_real_coordinate_fit,30.581270840938974,1.9043965254678332,26.14048549107181,3.1090561224491053
wse2,model_relaxed,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9998024245764656,0.9977499245771777,3,2,directional_reference,archived_third_order_only_raw_grid_unavailable,27.767677293480986,,22.998046875000384,1.3203523596939937
wse2,model_relaxed,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9998024245764656,0.9995236618621512,3,1,directional_reference,archived_third_order_only_raw_grid_unavailable,22.478603522962032,,18.41605050223242,1.6716159119898322
