reference_channel,candidate_channel,qx,qy,gamma_dimension,target_overlap_squared,gamma_minimum_overlap_squared,reference_selected,candidate_selected,reference_screen_phi122_norm,reference_refined_phi122_norm,reference_refined_phi1122_trace,candidate_screen_phi122_norm,candidate_refined_phi122_norm,candidate_refined_phi1122_trace
line_p1_m1__Gamma_4_5,line_p1_m1__Gamma_4_5,0.0,0.16666666666666666,2,0.999886694704804,0.9999973071729419,False,False,0.01740618920177839,,,0.011506012451184896,,
line_p1_m1__Gamma_6,line_p1_m1__Gamma_6,0.0,0.16666666666666666,1,0.999886694704804,0.9999999949490839,False,False,0.316619873046875,,,0.4298686981201172,,
line_p1_m1__Gamma_7_8,line_p1_m1__Gamma_7_8,0.0,0.16666666666666666,2,0.999886694704804,0.9999973059500361,False,False,0.10496971943763948,,,0.1539942261821728,,
line_p1_m1__Gamma_9,line_p1_m1__Gamma_9,0.0,0.16666666666666666,1,0.999886694704804,0.9999999989199393,False,False,0.01430511474609375,,,0.04124641418457031,,
line_p1_m2__Gamma_4_5,line_p1_m2__Gamma_4_5,0.0,0.16666666666666666,2,0.9998993978241845,0.9999973071729419,False,False,0.006198883056640625,,,0.010836904694903862,,
line_p1_m2__Gamma_6,line_p1_m2__Gamma_6,0.0,0.16666666666666666,1,0.9998993978241845,0.9999999949490839,False,False,0.1010894775390625,,,0.1685619354248047,,
line_p1_m2__Gamma_7_8,line_p1_m2__Gamma_7_8,0.0,0.16666666666666666,2,0.9998993978241845,0.9999973059500361,False,False,0.18784297650872647,,,0.3014117248153525,,
line_p1_m2__Gamma_9,line_p1_m2__Gamma_9,0.0,0.16666666666666666,1,0.9998993978241845,0.9999999989199393,False,False,0.0019073486328125,,,0.055789947509765625,,
line_p1_m3__Gamma_4_5,line_p1_m3__Gamma_4_5,0.0,0.16666666666666666,2,0.9998805172703465,0.9999973071729419,False,False,0.011762520202201853,,,0.019679283846184163,,
line_p1_m3__Gamma_6,line_p1_m3__Gamma_6,0.0,0.16666666666666666,1,0.9998805172703465,0.9999999949490839,False,False,0.16045570373535156,,,0.07724761962890625,,
line_p1_m3__Gamma_7_8,line_p1_m3__Gamma_7_8,0.0,0.16666666666666666,2,0.9998805172703465,0.9999973059500361,False,False,0.1949390843159003,,,0.11158091389769605,,
line_p1_m3__Gamma_9,line_p1_m3__Gamma_9,0.0,0.16666666666666666,1,0.9998805172703465,0.9999999989199393,False,False,0.00286102294921875,,,0.04744529724121094,,
line_p1_m4__Gamma_4_5,line_p1_m4__Gamma_4_5,0.0,0.16666666666666666,2,0.9999774651967015,0.9999973071729419,False,False,0.012564003111129186,,,0.014613717003557162,,
line_p1_m4__Gamma_6,line_p1_m4__Gamma_6,0.0,0.16666666666666666,1,0.9999774651967015,0.9999999949490839,False,False,3.1135082244873047,,,3.0312538146972656,,
line_p1_m4__Gamma_7_8,line_p1_m4__Gamma_7_8,0.0,0.16666666666666666,2,0.9999774651967015,0.9999973059500361,False,False,3.0020855763294017,,,3.068799635504252,,
line_p1_m4__Gamma_9,line_p1_m4__Gamma_9,0.0,0.16666666666666666,1,0.9999774651967015,0.9999999989199393,False,False,0.04649162292480469,,,0.046253204345703125,,
line_p1_m5__Gamma_4_5,line_p1_m5__Gamma_4_5,0.0,0.16666666666666666,2,0.9999330509642957,0.9999973071729419,False,False,0.01215700987241932,,,0.01847551704984605,,
line_p1_m5__Gamma_6,line_p1_m5__Gamma_6,0.0,0.16666666666666666,1,0.9999330509642957,0.9999999949490839,False,False,3.6962032318115234,,,3.5965442657470703,,
line_p1_m5__Gamma_7_8,line_p1_m5__Gamma_7_8,0.0,0.16666666666666666,2,0.9999330509642957,0.9999973059500361,False,False,3.538158993731516,,,3.3341048949246885,,
line_p1_m5__Gamma_9,line_p1_m5__Gamma_9,0.0,0.16666666666666666,1,0.9999330509642957,0.9999999989199393,False,False,0.045299530029296875,,,0.04839897155761719,,
line_p1_m6__Gamma_4_5,line_p1_m6__Gamma_4_5,0.0,0.16666666666666666,2,0.9994482781037937,0.9999973071729419,False,False,0.03267726462389835,,,0.018396894191608837,,
line_p1_m6__Gamma_6,line_p1_m6__Gamma_6,0.0,0.16666666666666666,1,0.9994482781037937,0.9999999949490839,False,False,6.143808364868164,,,6.120920181274414,,
line_p1_m6__Gamma_7_8,line_p1_m6__Gamma_7_8,0.0,0.16666666666666666,2,0.9994482781037937,0.9999973059500361,False,False,0.6822221723324687,,,0.7723456805255785,,
line_p1_m6__Gamma_9,line_p1_m6__Gamma_9,0.0,0.16666666666666666,1,0.9994482781037937,0.9999999989199393,False,False,0.000476837158203125,,,0.03838539123535156,,
line_p1_m7__Gamma_4_5,line_p1_m7__Gamma_4_5,0.0,0.16666666666666666,2,0.9999797636249421,0.9999973071729419,False,False,0.02728096191750869,,,0.010959477362214283,,
line_p1_m7__Gamma_6,line_p1_m7__Gamma_6,0.0,0.16666666666666666,1,0.9999797636249421,0.9999999949490839,False,False,8.568286895751953,,,8.451223373413086,,
