qx,qy,reference_mode,candidate_mode,reference_frequency_thz,candidate_frequency_thz,single_overlap_squared,subspace_dimension,subspace_minimum_overlap_squared,basis_dependent
0.0,0.0,1,3,-2.304108529684039e-07,1.8941889684904563e-07,0.9544020872217266,3,0.9999999999999998,True
0.0,0.0,2,1,-2.04746927146125e-07,-9.807908370677027e-08,0.9443096785765769,3,0.9999999999999998,True
0.0,0.0,3,2,-8.350312205048385e-08,6.489150749366565e-08,0.9000556554689471,3,0.9999999999999998,True
0.0,0.0,4,5,4.704789549101924,4.772448460114752,0.5574154710523099,2,0.9999973071729414,True
0.0,0.0,5,4,4.704808616082461,4.7724145375300555,0.5574154770567848,2,0.9999973071729414,True
0.0,0.0,6,6,6.985962475252244,7.029317729701424,0.9999999949490839,1,0.9999999949490839,False
0.0,0.0,7,7,8.284921610995834,8.09196106452476,0.5632063646796689,2,0.9999973059500361,True
0.0,0.0,8,8,8.285111146218606,8.092044312585534,0.5632064465546639,2,0.9999973059500361,True
0.0,0.0,9,9,10.248760157542804,10.21387927281602,0.9999999989199397,1,0.9999999989199393,False
0.0,0.16666666666666666,1,1,0.9802335010889425,1.004817678215723,0.999886694704804,1,0.999886694704804,False
0.0,0.16666666666666666,2,2,1.6187887776625216,1.6558181691965113,0.9998993978241845,1,0.9998993978241847,False
0.0,0.16666666666666666,3,3,2.6520339732313216,2.6602067217618584,0.9998805172703465,1,0.9998805172703465,False
0.0,0.16666666666666666,4,4,4.821068067712647,4.887956971909257,0.9999774651967015,1,0.9999774651967013,False
0.0,0.16666666666666666,5,5,5.24912995420172,5.294109393187556,0.9999330509642957,1,0.999933050964296,False
0.0,0.16666666666666666,6,6,6.6000805875753965,6.679086893220215,0.9994482781037937,1,0.9994482781037937,False
0.0,0.16666666666666666,7,7,8.177041145489076,8.044701877419312,0.9999797636249421,1,0.9999797636249423,False
0.0,0.16666666666666666,8,8,8.389636948871015,8.258003412903292,0.9994802441514722,1,0.9994802441514724,False
0.0,0.16666666666666666,9,9,9.936288783231246,9.794608741030443,0.9999560855464796,1,0.9999560855464796,False
0.0,0.3333333333333333,1,1,2.7428708992475284,2.7258884638587144,0.9599436811511087,1,0.9599436811511087,False
0.0,0.3333333333333333,2,2,2.755025838525838,2.77053018062501,0.9599134171392611,1,0.9599134171392609,False
0.0,0.3333333333333333,3,3,4.203135101082335,4.242048270727877,0.9958963465619812,1,0.9958963465619812,False
0.0,0.3333333333333333,4,4,5.063504291410084,5.0819020783124955,0.9998523910977529,1,0.9998523910977527,False
0.0,0.3333333333333333,5,5,5.823653348514943,5.855347335289038,0.9999312961005004,1,0.9999312961005004,False
0.0,0.3333333333333333,6,6,6.113298693626495,6.18951611723056,0.9958059051788172,1,0.9958059051788172,False
0.0,0.3333333333333333,7,7,7.938628634341663,7.9380260184310485,0.9995321128269286,1,0.9995321128269283,False
0.0,0.3333333333333333,8,8,8.444657077430373,8.389164555718468,0.9979632628263854,1,0.9979632628263854,False
0.0,0.3333333333333333,9,9,9.196883022924979,8.895457376313674,0.9994721664416122,1,0.9994721664416126,False
0.0,0.5,1,1,3.1148070305075453,3.0295472512195682,0.9994797141500854,1,0.9994797141500852,False
0.0,0.5,2,2,3.775514979471416,3.750122366459479,0.9994124186713939,1,0.9994124186713936,False
0.0,0.5,3,3,4.3261382840468094,4.487469872645556,0.9952215334282039,1,0.9952215334282039,False
0.0,0.5,4,4,5.1730315207478395,5.168866343287529,0.9995836183648383,1,0.9995836183648388,False
0.0,0.5,5,5,5.790635014138421,5.836013707876236,0.9998518714292847,1,0.9998518714292849,False
0.0,0.5,6,6,6.22793761141699,6.244937302979131,0.9973043764552628,1,0.9973043764552626,False
0.0,0.5,7,7,7.82314686963131,7.861995733546522,0.9981263442320648,1,0.9981263442320648,False
0.0,0.5,8,8,8.4256176183809,8.406240844855857,0.9975804699759517,1,0.9975804699759517,False
0.0,0.5,9,9,8.78907855597897,8.477376103954795,0.9981754782413229,1,0.9981754782413229,False
0.0,0.6666666666666666,1,1,2.742870899247536,2.7258884638587157,0.9599436811511176,1,0.9599436811511176,False
0.0,0.6666666666666666,2,2,2.7550258385258366,2.7705301806250096,0.95991341713927,1,0.9599134171392698,False
0.0,0.6666666666666666,3,3,4.203135101082335,4.24204827072788,0.9958963465619823,1,0.9958963465619819,False
0.0,0.6666666666666666,4,4,5.063504291410084,5.081902078312496,0.9998523910977531,1,0.9998523910977529,False
0.0,0.6666666666666666,5,5,5.823653348514941,5.855347335289038,0.9999312961004995,1,0.9999312961004995,False
0.0,0.6666666666666666,6,6,6.113298693626494,6.189516117230559,0.9958059051788167,1,0.9958059051788167,False
0.0,0.6666666666666666,7,7,7.938628634341663,7.93802601843105,0.9995321128269308,1,0.999532112826931,False
0.0,0.6666666666666666,8,8,8.44465707743037,8.389164555718471,0.997963262826384,1,0.997963262826384,False
0.0,0.6666666666666666,9,9,9.196883022924984,8.89545737631368,0.9994721664416131,1,0.9994721664416131,False
0.0,0.8333333333333334,1,1,0.9802335010889336,1.0048176782157354,0.9998866947048037,1,0.9998866947048035,False
0.0,0.8333333333333334,2,2,1.6187887776625294,1.6558181691965161,0.9998993978241845,1,0.9998993978241845,False
0.0,0.8333333333333334,3,3,2.652033973231317,2.660206721761855,0.9998805172703477,1,0.9998805172703477,False
0.0,0.8333333333333334,4,4,4.821068067712647,4.887956971909259,0.9999774651967013,1,0.9999774651967015,False
0.0,0.8333333333333334,5,5,5.24912995420172,5.294109393187554,0.9999330509642966,1,0.9999330509642966,False
0.0,0.8333333333333334,6,6,6.600080587575399,6.679086893220218,0.9994482781037943,1,0.9994482781037948,False
0.0,0.8333333333333334,7,7,8.177041145489076,8.044701877419312,0.9999797636249399,1,0.9999797636249399,False
