reference_channel,candidate_channel,qx,qy,gamma_dimension,target_overlap_squared,gamma_minimum_overlap_squared,reference_selected,candidate_selected,reference_screen_phi122_norm,reference_refined_phi122_norm,reference_refined_phi1122_trace,candidate_screen_phi122_norm,candidate_refined_phi122_norm,candidate_refined_phi1122_trace
line_p1_m1__Gamma_4_5,line_p1_m1__Gamma_4_5,0.0,0.16666666666666666,2,0.9999148672089485,0.9999973556669088,False,False,0.012839233415447484,,,0.011506012451184896,,
line_p1_m1__Gamma_6,line_p1_m1__Gamma_6,0.0,0.16666666666666666,1,0.9999148672089485,0.9999999964838184,False,False,0.5254745483398438,,,0.4298686981201172,,
line_p1_m1__Gamma_7_8,line_p1_m1__Gamma_7_8,0.0,0.16666666666666666,2,0.9999148672089485,0.9999973538795704,False,False,0.0764740368103801,,,0.1539942261821728,,
line_p1_m1__Gamma_9,line_p1_m1__Gamma_9,0.0,0.16666666666666666,1,0.9999148672089485,0.9999999996195419,False,False,0.025033950805664062,,,0.04124641418457031,,
line_p1_m2__Gamma_4_5,line_p1_m2__Gamma_4_5,0.0,0.16666666666666666,2,0.9999068670216635,0.9999973556669088,False,False,0.035633808251613094,,,0.010836904694903862,,
line_p1_m2__Gamma_6,line_p1_m2__Gamma_6,0.0,0.16666666666666666,1,0.9999068670216635,0.9999999964838184,False,False,0.1480579376220703,,,0.1685619354248047,,
line_p1_m2__Gamma_7_8,line_p1_m2__Gamma_7_8,0.0,0.16666666666666666,2,0.9999068670216635,0.9999973538795704,False,False,0.22697060545639178,,,0.3014117248153525,,
line_p1_m2__Gamma_9,line_p1_m2__Gamma_9,0.0,0.16666666666666666,1,0.9999068670216635,0.9999999996195419,False,False,0.0007152557373046875,,,0.055789947509765625,,
line_p1_m3__Gamma_4_5,line_p1_m3__Gamma_4_5,0.0,0.16666666666666666,2,0.999976194333335,0.9999973556669088,False,False,0.03918342434538391,,,0.019679283846184163,,
line_p1_m3__Gamma_6,line_p1_m3__Gamma_6,0.0,0.16666666666666666,1,0.999976194333335,0.9999999964838184,False,False,0.06341934204101562,,,0.07724761962890625,,
line_p1_m3__Gamma_7_8,line_p1_m3__Gamma_7_8,0.0,0.16666666666666666,2,0.999976194333335,0.9999973538795704,False,False,0.17772469966649956,,,0.11158091389769605,,
line_p1_m3__Gamma_9,line_p1_m3__Gamma_9,0.0,0.16666666666666666,1,0.999976194333335,0.9999999996195419,False,False,0.0050067901611328125,,,0.04744529724121094,,
line_p1_m4__Gamma_4_5,line_p1_m4__Gamma_4_5,0.0,0.16666666666666666,2,0.9999774960472491,0.9999973556669088,False,False,0.05216574538069462,,,0.014613717003557162,,
line_p1_m4__Gamma_6,line_p1_m4__Gamma_6,0.0,0.16666666666666666,1,0.9999774960472491,0.9999999964838184,False,False,2.9754638671875,,,3.0312538146972656,,
line_p1_m4__Gamma_7_8,line_p1_m4__Gamma_7_8,0.0,0.16666666666666666,2,0.9999774960472491,0.9999973538795704,False,False,3.042261876756352,,,3.068799635504252,,
line_p1_m4__Gamma_9,line_p1_m4__Gamma_9,0.0,0.16666666666666666,1,0.9999774960472491,0.9999999996195419,False,False,0.020503997802734375,,,0.046253204345703125,,
line_p1_m5__Gamma_4_5,line_p1_m5__Gamma_4_5,0.0,0.16666666666666666,2,0.9999783127167675,0.9999973556669088,False,False,0.04456897207801562,,,0.01847551704984605,,
line_p1_m5__Gamma_6,line_p1_m5__Gamma_6,0.0,0.16666666666666666,1,0.9999783127167675,0.9999999964838184,False,False,3.5696029663085938,,,3.5965442657470703,,
line_p1_m5__Gamma_7_8,line_p1_m5__Gamma_7_8,0.0,0.16666666666666666,2,0.9999783127167675,0.9999973538795704,False,False,3.3214531061040744,,,3.3341048949246885,,
line_p1_m5__Gamma_9,line_p1_m5__Gamma_9,0.0,0.16666666666666666,1,0.9999783127167675,0.9999999996195419,False,False,0.0040531158447265625,,,0.04839897155761719,,
line_p1_m6__Gamma_4_5,line_p1_m6__Gamma_4_5,0.0,0.16666666666666666,2,0.9994172601424788,0.9999973556669088,False,False,0.030242529812672763,,,0.018396894191608837,,
line_p1_m6__Gamma_6,line_p1_m6__Gamma_6,0.0,0.16666666666666666,1,0.9994172601424788,0.9999999964838184,False,False,6.115436553955078,,,6.120920181274414,,
line_p1_m6__Gamma_7_8,line_p1_m6__Gamma_7_8,0.0,0.16666666666666666,2,0.9994172601424788,0.9999973538795704,False,False,0.5819477141242102,,,0.7723456805255785,,
line_p1_m6__Gamma_9,line_p1_m6__Gamma_9,0.0,0.16666666666666666,1,0.9994172601424788,0.9999999996195419,False,False,0.017642974853515625,,,0.03838539123535156,,
line_p1_m7__Gamma_4_5,line_p1_m7__Gamma_4_5,0.0,0.16666666666666666,2,0.9999861622894618,0.9999973556669088,False,False,0.04123194115354074,,,0.010959477362214283,,
line_p1_m7__Gamma_6,line_p1_m7__Gamma_6,0.0,0.16666666666666666,1,0.9999861622894618,0.9999999964838184,False,False,8.424997329711914,,,8.451223373413086,,
line_p1_m7__Gamma_7_8,line_p1_m7__Gamma_7_8,0.0,0.16666666666666666,2,0.9999861622894618,0.9999973538795704,False,False,3.3022438543562243,,,3.336129361415999,,
line_p1_m7__Gamma_9,line_p1_m7__Gamma_9,0.0,0.16666666666666666,1,0.9999861622894618,0.9999999996195419,False,False,0.010251998901367188,,,0.04458427429199219,,
line_p1_m8__Gamma_4_5,line_p1_m8__Gamma_4_5,0.0,0.16666666666666666,2,0.9994215735210261,0.9999973556669088,False,False,0.028896882583857895,,,0.013353568997326324,,
line_p1_m8__Gamma_6,line_p1_m8__Gamma_6,0.0,0.16666666666666666,1,0.9994215735210261,0.9999999964838184,True,True,9.334087371826172,9.397670200893282,0.15476771763422992,9.409666061401367,9.477506365094454,0.3934587751119045
line_p1_m8__Gamma_7_8,line_p1_m8__Gamma_7_8,0.0,0.16666666666666666,2,0.9994215735210261,0.9999973538795704,False,False,2.692231061890356,,,2.425230784345874,,
line_p1_m8__Gamma_9,line_p1_m8__Gamma_9,0.0,0.16666666666666666,1,0.9994215735210261,0.9999999996195419,False,False,0.013828277587890625,,,0.029087066650390625,,
line_p1_m9__Gamma_4_5,line_p1_m9__Gamma_4_5,0.0,0.16666666666666666,2,0.9999825849390498,0.9999973556669088,False,False,0.02295018778058792,,,0.04278401306745008,,
line_p1_m9__Gamma_6,line_p1_m9__Gamma_6,0.0,0.16666666666666666,1,0.9999825849390498,0.9999999964838184,True,True,13.441324234008789,13.50686209542483,0.3771100725445675,13.390779495239258,13.457325526645537,0.4143228336259408
line_p1_m9__Gamma_7_8,line_p1_m9__Gamma_7_8,0.0,0.16666666666666666,2,0.9999825849390498,0.9999973538795704,False,False,0.6450625600169774,,,0.7215088652459368,,
line_p1_m9__Gamma_9,line_p1_m9__Gamma_9,0.0,0.16666666666666666,1,0.9999825849390498,0.9999999996195419,False,False,0.0064373016357421875,,,0.026941299438476562,,
line_p2_m1__Gamma_4_5,line_p2_m1__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9999075322183876,0.9999973556669088,False,False,0.04415960062589878,,,0.012185032214337003,,
line_p2_m1__Gamma_6,line_p2_m1__Gamma_6,0.16666666666666666,0.16666666666666666,1,0.9999075322183876,0.9999999964838184,False,False,0.7982254028320312,,,0.7610321044921875,,
line_p2_m1__Gamma_7_8,line_p2_m1__Gamma_7_8,0.16666666666666666,0.16666666666666666,2,0.9999075322183876,0.9999973538795704,False,False,0.12667455307620082,,,0.12781771009834605,,
