reference_channel,candidate_channel,qx,qy,gamma_dimension,target_overlap_squared,gamma_minimum_overlap_squared,reference_selected,candidate_selected,reference_screen_phi122_norm,reference_refined_phi122_norm,reference_refined_phi1122_trace,candidate_screen_phi122_norm,candidate_refined_phi122_norm,candidate_refined_phi1122_trace
line_p1_m1__Gamma_4_5,line_p1_m1__Gamma_4_5,0.0,0.16666666666666666,2,0.9999704332028814,0.9999999931429784,False,False,0.012839233415447484,,,0.01740618920177839,,
line_p1_m1__Gamma_6,line_p1_m1__Gamma_6,0.0,0.16666666666666666,1,0.9999704332028814,0.9999999987846697,False,False,0.5254745483398438,,,0.316619873046875,,
line_p1_m1__Gamma_7_8,line_p1_m1__Gamma_7_8,0.0,0.16666666666666666,2,0.9999704332028814,0.999999992710711,False,False,0.0764740368103801,,,0.10496971943763948,,
line_p1_m1__Gamma_9,line_p1_m1__Gamma_9,0.0,0.16666666666666666,1,0.9999704332028814,0.9999999984151584,False,False,0.025033950805664062,,,0.01430511474609375,,
line_p1_m2__Gamma_4_5,line_p1_m2__Gamma_4_5,0.0,0.16666666666666666,2,0.999999001211106,0.9999999931429784,False,False,0.035633808251613094,,,0.006198883056640625,,
line_p1_m2__Gamma_6,line_p1_m2__Gamma_6,0.0,0.16666666666666666,1,0.999999001211106,0.9999999987846697,False,False,0.1480579376220703,,,0.1010894775390625,,
line_p1_m2__Gamma_7_8,line_p1_m2__Gamma_7_8,0.0,0.16666666666666666,2,0.999999001211106,0.999999992710711,False,False,0.22697060545639178,,,0.18784297650872647,,
line_p1_m2__Gamma_9,line_p1_m2__Gamma_9,0.0,0.16666666666666666,1,0.999999001211106,0.9999999984151584,False,False,0.0007152557373046875,,,0.0019073486328125,,
line_p1_m3__Gamma_4_5,line_p1_m3__Gamma_4_5,0.0,0.16666666666666666,2,0.9998869109212739,0.9999999931429784,False,False,0.03918342434538391,,,0.011762520202201853,,
line_p1_m3__Gamma_6,line_p1_m3__Gamma_6,0.0,0.16666666666666666,1,0.9998869109212739,0.9999999987846697,False,False,0.06341934204101562,,,0.16045570373535156,,
line_p1_m3__Gamma_7_8,line_p1_m3__Gamma_7_8,0.0,0.16666666666666666,2,0.9998869109212739,0.999999992710711,False,False,0.17772469966649956,,,0.1949390843159003,,
line_p1_m3__Gamma_9,line_p1_m3__Gamma_9,0.0,0.16666666666666666,1,0.9998869109212739,0.9999999984151584,False,False,0.0050067901611328125,,,0.00286102294921875,,
line_p1_m4__Gamma_4_5,line_p1_m4__Gamma_4_5,0.0,0.16666666666666666,2,0.9999999876404295,0.9999999931429784,False,False,0.05216574538069462,,,0.012564003111129186,,
line_p1_m4__Gamma_6,line_p1_m4__Gamma_6,0.0,0.16666666666666666,1,0.9999999876404295,0.9999999987846697,False,False,2.9754638671875,,,3.1135082244873047,,
line_p1_m4__Gamma_7_8,line_p1_m4__Gamma_7_8,0.0,0.16666666666666666,2,0.9999999876404295,0.999999992710711,False,False,3.042261876756352,,,3.0020855763294017,,
line_p1_m4__Gamma_9,line_p1_m4__Gamma_9,0.0,0.16666666666666666,1,0.9999999876404295,0.9999999984151584,False,False,0.020503997802734375,,,0.04649162292480469,,
line_p1_m5__Gamma_4_5,line_p1_m5__Gamma_4_5,0.0,0.16666666666666666,2,0.9999022901873649,0.9999999931429784,False,False,0.04456897207801562,,,0.01215700987241932,,
line_p1_m5__Gamma_6,line_p1_m5__Gamma_6,0.0,0.16666666666666666,1,0.9999022901873649,0.9999999987846697,False,False,3.5696029663085938,,,3.6962032318115234,,
line_p1_m5__Gamma_7_8,line_p1_m5__Gamma_7_8,0.0,0.16666666666666666,2,0.9999022901873649,0.999999992710711,False,False,3.3214531061040744,,,3.538158993731516,,
line_p1_m5__Gamma_9,line_p1_m5__Gamma_9,0.0,0.16666666666666666,1,0.9999022901873649,0.9999999984151584,False,False,0.0040531158447265625,,,0.045299530029296875,,
line_p1_m6__Gamma_4_5,line_p1_m6__Gamma_4_5,0.0,0.16666666666666666,2,0.9982915485858429,0.9999999931429784,False,False,0.030242529812672763,,,0.03267726462389835,,
