qx,qy,reference_mode,candidate_mode,reference_frequency_thz,candidate_frequency_thz,single_overlap_squared,subspace_dimension,subspace_minimum_overlap_squared,basis_dependent
0.0,0.0,1,2,-2.9777676131825337e-07,-2.04746927146125e-07,0.9915585030139674,3,1.0,True
0.0,0.0,2,1,-2.529944973923882e-07,-2.304108529684039e-07,0.9994951661550914,3,1.0,True
0.0,0.0,3,3,-1.2877126626832537e-07,-8.350312205048385e-08,0.9916545791562721,3,1.0,True
0.0,0.0,4,4,4.854775159411012,4.704789549101924,0.625769670088549,2,0.9999999931429784,True
0.0,0.0,5,5,4.854808026381322,4.704808616082461,0.6257696702520246,2,0.9999999931429784,True
0.0,0.0,6,6,7.029902382591678,6.985962475252244,0.9999999987846699,1,0.9999999987846697,False
0.0,0.0,7,7,8.200794412745484,8.284921610995834,0.9763381023883659,2,0.999999992710711,True
0.0,0.0,8,8,8.200898444061645,8.285111146218606,0.9763381017553806,2,0.999999992710711,True
0.0,0.0,9,9,10.23937711199081,10.248760157542804,0.9999999984151586,1,0.9999999984151584,False
0.0,0.16666666666666666,1,1,1.021426534111098,0.9802335010889425,0.9999704332028814,1,0.9999704332028814,False
0.0,0.16666666666666666,2,2,1.695002758738701,1.6187887776625216,0.999999001211106,1,0.9999990012111062,False
0.0,0.16666666666666666,3,3,2.691817259448048,2.6520339732313216,0.9998869109212739,1,0.9998869109212741,False
0.0,0.16666666666666666,4,4,4.958974221126941,4.821068067712647,0.9999999876404295,1,0.9999999876404297,False
0.0,0.16666666666666666,5,5,5.3689923240123685,5.24912995420172,0.9999022901873649,1,0.9999022901873649,False
0.0,0.16666666666666666,6,6,6.686686792951677,6.6000805875753965,0.9982915485858429,1,0.9982915485858429,False
0.0,0.16666666666666666,7,7,8.202886349899588,8.177041145489076,0.9999989545009792,1,0.9999989545009792,False
0.0,0.16666666666666666,8,8,8.34529154375689,8.389636948871015,0.9983211935698223,1,0.9983211935698223,False
0.0,0.16666666666666666,9,9,9.851338563911444,9.936288783231246,0.9999215876902179,1,0.9999215876902179,False
0.0,0.3333333333333333,1,1,2.753751222108816,2.7428708992475284,0.9999864711196881,1,0.9999864711196885,False
0.0,0.3333333333333333,2,2,2.815567295583642,2.755025838525838,0.9998874430975992,1,0.9998874430975995,False
