reference_channel,candidate_channel,qx,qy,gamma_dimension,target_overlap_squared,gamma_minimum_overlap_squared,reference_selected,candidate_selected,reference_screen_phi122_norm,reference_refined_phi122_norm,reference_refined_phi1122_trace,candidate_screen_phi122_norm,candidate_refined_phi122_norm,candidate_refined_phi1122_trace
line_p1_m1__Gamma_4_5,line_p1_m1__Gamma_4_5,0.0,0.16666666666666666,2,0.9999186755441061,0.9999626197870097,False,False,0.01573743231841016,,,0.048206562311240916,,
line_p1_m1__Gamma_6_7,line_p1_m1__Gamma_6_7,0.0,0.16666666666666666,2,0.9999186755441061,0.9999626188665306,False,False,0.1579144720428151,,,0.06061508116719838,,
line_p1_m1__Gamma_8,line_p1_m1__Gamma_8,0.0,0.16666666666666666,1,0.9999186755441061,0.9999999668921296,False,False,0.8101463317871094,,,0.7500648498535156,,
line_p1_m1__Gamma_9,line_p1_m1__Gamma_9,0.0,0.16666666666666666,1,0.9999186755441061,0.9999999700822495,False,False,0.000476837158203125,,,0.014781951904296875,,
line_p1_m2__Gamma_4_5,line_p1_m2__Gamma_4_5,0.0,0.16666666666666666,2,0.9999209729326575,0.9999626197870097,False,False,0.02286457791569421,,,0.040573910997436034,,
line_p1_m2__Gamma_6_7,line_p1_m2__Gamma_6_7,0.0,0.16666666666666666,2,0.9999209729326575,0.9999626188665306,False,False,0.3588582965739127,,,0.37570183977802485,,
line_p1_m2__Gamma_8,line_p1_m2__Gamma_8,0.0,0.16666666666666666,1,0.9999209729326575,0.9999999668921296,False,False,0.2276897430419922,,,0.17118453979492188,,
line_p1_m2__Gamma_9,line_p1_m2__Gamma_9,0.0,0.16666666666666666,1,0.9999209729326575,0.9999999700822495,False,False,0.02574920654296875,,,0.027179718017578125,,
line_p1_m3__Gamma_4_5,line_p1_m3__Gamma_4_5,0.0,0.16666666666666666,2,0.9999616584204631,0.9999626197870097,False,False,0.023990406748650203,,,0.05138902172094171,,
line_p1_m3__Gamma_6_7,line_p1_m3__Gamma_6_7,0.0,0.16666666666666666,2,0.9999616584204631,0.9999626188665306,False,False,0.2576418061546701,,,0.32136224392498974,,
line_p1_m3__Gamma_8,line_p1_m3__Gamma_8,0.0,0.16666666666666666,1,0.9999616584204631,0.9999999668921296,False,False,0.16546249389648438,,,0.26297569274902344,,
line_p1_m3__Gamma_9,line_p1_m3__Gamma_9,0.0,0.16666666666666666,1,0.9999616584204631,0.9999999700822495,False,False,0.01811981201171875,,,0.03719329833984375,,
line_p1_m4__Gamma_4_5,line_p1_m4__Gamma_4_5,0.0,0.16666666666666666,2,0.9999343468125241,0.9999626197870097,False,False,0.017895692829890446,,,0.07090818661124434,,
line_p1_m4__Gamma_6_7,line_p1_m4__Gamma_6_7,0.0,0.16666666666666666,2,0.9999343468125241,0.9999626188665306,False,False,11.423988909868054,,,11.390504510019804,,
line_p1_m4__Gamma_8,line_p1_m4__Gamma_8,0.0,0.16666666666666666,1,0.9999343468125241,0.9999999668921296,False,False,15.651226043701172,,,15.639781951904297,,
line_p1_m4__Gamma_9,line_p1_m4__Gamma_9,0.0,0.16666666666666666,1,0.9999343468125241,0.9999999700822495,False,False,0.043392181396484375,,,0.018596649169921875,,
line_p1_m5__Gamma_4_5,line_p1_m5__Gamma_4_5,0.0,0.16666666666666666,2,0.9994799671272117,0.9999626197870097,False,False,0.021955231539194753,,,0.3062101247450423,,
line_p1_m5__Gamma_6_7,line_p1_m5__Gamma_6_7,0.0,0.16666666666666666,2,0.9994799671272117,0.9999626188665306,False,False,12.845591126939311,,,12.419993914407414,,
line_p1_m5__Gamma_8,line_p1_m5__Gamma_8,0.0,0.16666666666666666,1,0.9994799671272117,0.9999999668921296,False,False,16.65949821472168,,,16.67928695678711,,
line_p1_m5__Gamma_9,line_p1_m5__Gamma_9,0.0,0.16666666666666666,1,0.9994799671272117,0.9999999700822495,False,False,0.026226043701171875,,,0.04220008850097656,,
line_p1_m6__Gamma_4_5,line_p1_m6__Gamma_4_5,0.0,0.16666666666666666,2,0.9998101641675139,0.9999626197870097,False,False,0.017461617873764566,,,0.18697322486519624,,
line_p1_m6__Gamma_6_7,line_p1_m6__Gamma_6_7,0.0,0.16666666666666666,2,0.9998101641675139,0.9999626188665306,False,False,6.19514452549488,,,6.173142363067855,,
line_p1_m6__Gamma_8,line_p1_m6__Gamma_8,0.0,0.16666666666666666,1,0.9998101641675139,0.9999999668921296,False,False,20.5838680267334,,,20.565509796142578,,
line_p1_m6__Gamma_9,line_p1_m6__Gamma_9,0.0,0.16666666666666666,1,0.9998101641675139,0.9999999700822495,False,False,0.013113021850585938,,,0.024318695068359375,,
line_p1_m7__Gamma_4_5,line_p1_m7__Gamma_4_5,0.0,0.16666666666666666,2,0.9944686711458937,0.9999626197870097,False,False,0.007251217997429633,,,0.17751572146296016,,
line_p1_m7__Gamma_6_7,line_p1_m7__Gamma_6_7,0.0,0.16666666666666666,2,0.9944686711458937,0.9999626188665306,False,False,6.890663319551738,,,6.900415959467637,,
line_p1_m7__Gamma_8,line_p1_m7__Gamma_8,0.0,0.16666666666666666,1,0.9944686711458937,0.9999999668921296,False,False,18.514394760131836,,,18.63718032836914,,
line_p1_m7__Gamma_9,line_p1_m7__Gamma_9,0.0,0.16666666666666666,1,0.9944686711458937,0.9999999700822495,False,False,0.01049041748046875,,,0.03218650817871094,,
line_p1_m8__Gamma_4_5,line_p1_m8__Gamma_4_5,0.0,0.16666666666666666,2,0.9945584609864894,0.9999626197870097,False,False,0.018027030416217737,,,0.06259157508248014,,
line_p1_m8__Gamma_6_7,line_p1_m8__Gamma_6_7,0.0,0.16666666666666666,2,0.9945584609864894,0.9999626188665306,False,False,1.0803581120045038,,,1.1305033958073805,,
line_p1_m8__Gamma_8,line_p1_m8__Gamma_8,0.0,0.16666666666666666,1,0.9945584609864894,0.9999999668921296,True,True,32.605648040771484,32.61571611677002,2.1114738620056084,32.42182731628418,32.37784249441859,1.849738919005195
line_p1_m8__Gamma_9,line_p1_m8__Gamma_9,0.0,0.16666666666666666,1,0.9945584609864894,0.9999999700822495,False,False,0.0026226043701171875,,,0.10585784912109375,,
line_p1_m9__Gamma_4_5,line_p1_m9__Gamma_4_5,0.0,0.16666666666666666,2,0.9995109920677586,0.9999626197870097,False,False,0.0460302247943431,,,0.07015545183421644,,
line_p1_m9__Gamma_6_7,line_p1_m9__Gamma_6_7,0.0,0.16666666666666666,2,0.9995109920677586,0.9999626188665306,False,False,2.2209439927922823,,,1.7147399854769594,,
line_p1_m9__Gamma_8,line_p1_m9__Gamma_8,0.0,0.16666666666666666,1,0.9995109920677586,0.9999999668921296,False,False,28.54466438293457,,,28.607606887817383,,
line_p1_m9__Gamma_9,line_p1_m9__Gamma_9,0.0,0.16666666666666666,1,0.9995109920677586,0.9999999700822495,False,False,0.0016689300537109375,,,0.11801719665527344,,
line_p2_m1__Gamma_4_5,line_p2_m1__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9997410938814102,0.9999626197870097,False,False,0.010254770835688862,,,0.023785763555572947,,
line_p2_m1__Gamma_6_7,line_p2_m1__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9997410938814102,0.9999626188665306,False,False,0.07776576682051367,,,0.04263694851402362,,
line_p2_m1__Gamma_8,line_p2_m1__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9997410938814102,0.9999999668921296,False,False,1.4698505401611328,,,1.4510154724121094,,
line_p2_m1__Gamma_9,line_p2_m1__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9997410938814102,0.9999999700822495,False,False,0.008106231689453125,,,0.014066696166992188,,
line_p2_m2__Gamma_4_5,line_p2_m2__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9988242725156216,0.9999626197870097,False,False,0.020169986335811012,,,0.02973644605191968,,
line_p2_m2__Gamma_6_7,line_p2_m2__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9988242725156216,0.9999626188665306,False,False,0.11272989136586606,,,0.11122296988294884,,
line_p2_m2__Gamma_8,line_p2_m2__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9988242725156216,0.9999999668921296,False,False,0.4429817199707031,,,0.3635883331298828,,
line_p2_m2__Gamma_9,line_p2_m2__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9988242725156216,0.9999999700822495,False,False,0.015497207641601562,,,0.0133514404296875,,
line_p2_m3__Gamma_4_5,line_p2_m3__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9987076276779915,0.9999626197870097,False,False,0.005102380409010099,,,0.04004083701633983,,
line_p2_m3__Gamma_6_7,line_p2_m3__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9987076276779915,0.9999626188665306,False,False,0.19232696407907743,,,0.10982792669564267,,
line_p2_m3__Gamma_8,line_p2_m3__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9987076276779915,0.9999999668921296,False,False,0.27751922607421875,,,0.24247169494628906,,
line_p2_m3__Gamma_9,line_p2_m3__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9987076276779915,0.9999999700822495,False,False,0.023365020751953125,,,0.015735626220703125,,
line_p2_m4__Gamma_4_5,line_p2_m4__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9973745858558347,0.9999626197870097,False,False,0.0021589720578521292,,,0.10833888195599004,,
line_p2_m4__Gamma_6_7,line_p2_m4__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9973745858558347,0.9999626188665306,False,False,5.289069058825191,,,7.130020259024011,,
line_p2_m4__Gamma_8,line_p2_m4__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9973745858558347,0.9999999668921296,False,False,14.959096908569336,,,14.920473098754883,,
line_p2_m4__Gamma_9,line_p2_m4__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9973745858558347,0.9999999700822495,False,False,0.009059906005859375,,,0.008344650268554688,,
line_p2_m5__Gamma_4_5,line_p2_m5__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9831183045332182,0.9999626197870097,False,False,0.015005225160178721,,,3.3008147840690607,,
line_p2_m5__Gamma_6_7,line_p2_m5__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9831183045332182,0.9999626188665306,False,False,8.279050898360897,,,9.063688558328227,,
line_p2_m5__Gamma_8,line_p2_m5__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9831183045332182,0.9999999668921296,False,False,16.35289192199707,,,16.453027725219727,,
line_p2_m5__Gamma_9,line_p2_m5__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9831183045332182,0.9999999700822495,False,False,0.03170967102050781,,,0.0016689300537109375,,
line_p2_m6__Gamma_4_5,line_p2_m6__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9726204838820743,0.9999626197870097,False,False,0.02232112376908883,,,3.303099946556526,,
line_p2_m6__Gamma_6_7,line_p2_m6__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9726204838820743,0.9999626188665306,False,False,0.3157362399231636,,,2.8085088176545066,,
line_p2_m6__Gamma_8,line_p2_m6__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9726204838820743,0.9999999668921296,False,False,19.510746002197266,,,19.603967666625977,,
line_p2_m6__Gamma_9,line_p2_m6__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9726204838820743,0.9999999700822495,False,False,0.010967254638671875,,,0.03552436828613281,,
line_p2_m7__Gamma_4_5,line_p2_m7__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9825114214849303,0.9999626197870097,False,False,0.014213427124775772,,,0.21932073126141557,,
line_p2_m7__Gamma_6_7,line_p2_m7__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9825114214849303,0.9999626188665306,False,False,0.07115985833992715,,,3.004270596359725,,
line_p2_m7__Gamma_8,line_p2_m7__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9825114214849303,0.9999999668921296,False,False,15.379667282104492,,,15.209197998046875,,
line_p2_m7__Gamma_9,line_p2_m7__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9825114214849303,0.9999999700822495,False,False,0.0016689300537109375,,,0.04220008850097656,,
line_p2_m8__Gamma_4_5,line_p2_m8__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9969488976788673,0.9999626197870097,False,False,0.020702641817181025,,,0.21779051093035928,,
line_p2_m8__Gamma_6_7,line_p2_m8__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9969488976788673,0.9999626188665306,False,False,4.482682093674379,,,3.636839990925967,,
line_p2_m8__Gamma_8,line_p2_m8__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9969488976788673,0.9999999668921296,False,False,26.63135528564453,,,26.64804458618164,,
line_p2_m8__Gamma_9,line_p2_m8__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9969488976788673,0.9999999700822495,False,False,0.019550323486328125,,,0.002384185791015625,,
line_p2_m9__Gamma_4_5,line_p2_m9__Gamma_4_5,0.16666666666666666,0.16666666666666666,2,0.9961163483626275,0.9999626197870097,False,False,0.025165304081776203,,,0.06766720827753873,,
line_p2_m9__Gamma_6_7,line_p2_m9__Gamma_6_7,0.16666666666666666,0.16666666666666666,2,0.9961163483626275,0.9999626188665306,False,False,0.34727047176769105,,,0.7335489171085483,,
line_p2_m9__Gamma_8,line_p2_m9__Gamma_8,0.16666666666666666,0.16666666666666666,1,0.9961163483626275,0.9999999668921296,True,True,30.541658401489258,30.57218279157472,1.7058703364160044,30.6093692779541,30.635070800780408,1.5760149274559598
line_p2_m9__Gamma_9,line_p2_m9__Gamma_9,0.16666666666666666,0.16666666666666666,1,0.9961163483626275,0.9999999700822495,False,False,0.003337860107421875,,,0.009059906005859375,,
line_p3_m1__Gamma_4_5,line_p3_m1__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.9981334069724895,0.9999626197870097,False,False,0.004163801478522535,,,0.0642519271165079,,
line_p3_m1__Gamma_6_7,line_p3_m1__Gamma_6_7,0.16666666666666666,0.3333333333333333,2,0.9981334069724895,0.9999626188665306,False,False,0.09742951241406154,,,0.05846653604082895,,
line_p3_m1__Gamma_8,line_p3_m1__Gamma_8,0.16666666666666666,0.3333333333333333,1,0.9981334069724895,0.9999999668921296,False,False,1.8582344055175781,,,1.7321109771728516,,
line_p3_m1__Gamma_9,line_p3_m1__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.9981334069724895,0.9999999700822495,False,False,0.02384185791015625,,,0.0438690185546875,,
line_p3_m2__Gamma_4_5,line_p3_m2__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.9972433891322983,0.9999626197870097,False,False,0.01276374703819673,,,0.04445595558474222,,
line_p3_m2__Gamma_6_7,line_p3_m2__Gamma_6_7,0.16666666666666666,0.3333333333333333,2,0.9972433891322983,0.9999626188665306,False,False,0.33504521047319186,,,0.32170017751131175,,
line_p3_m2__Gamma_8,line_p3_m2__Gamma_8,0.16666666666666666,0.3333333333333333,1,0.9972433891322983,0.9999999668921296,False,False,0.12946128845214844,,,0.09918212890625,,
line_p3_m2__Gamma_9,line_p3_m2__Gamma_9,0.16666666666666666,0.3333333333333333,1,0.9972433891322983,0.9999999700822495,False,False,0.006198883056640625,,,0.0019073486328125,,
line_p3_m3__Gamma_4_5,line_p3_m3__Gamma_4_5,0.16666666666666666,0.3333333333333333,2,0.998661439481826,0.9999626197870097,False,False,0.024175690946213472,,,0.017508756606804995,,
line_p3_m3__Gamma_6_7,line_p3_m3__Gamma_6_7,0.16666666666666666,0.3333333333333333,2,0.998661439481826,0.9999626188665306,False,False,0.5746613848383644,,,0.6029582768339821,,
line_p3_m3__Gamma_8,line_p3_m3__Gamma_8,0.16666666666666666,0.3333333333333333,1,0.998661439481826,0.9999999668921296,False,False,0.2548694610595703,,,0.2994537353515625,,
