reference_channel,candidate_channel,qx,qy,gamma_dimension,target_overlap_squared,gamma_minimum_overlap_squared,reference_selected,candidate_selected,reference_screen_phi122_norm,reference_refined_phi122_norm,reference_refined_phi1122_trace,candidate_screen_phi122_norm,candidate_refined_phi122_norm,candidate_refined_phi1122_trace
line_p1_m1__Gamma_4_5,line_p1_m1__Gamma_4_5,0.0,0.16666666666666666,2,0.9999494254177069,0.9999624564672188,False,False,0.03459781372241453,,,0.048206562311240916,,
line_p1_m1__Gamma_6_7,line_p1_m1__Gamma_6_7,0.0,0.16666666666666666,2,0.9999494254177069,0.9999624565609744,False,False,0.036285083266461376,,,0.06061508116719838,,
line_p1_m1__Gamma_8,line_p1_m1__Gamma_8,0.0,0.16666666666666666,1,0.9999494254177069,0.9999999900036043,False,False,0.7503032684326172,,,0.7500648498535156,,
line_p1_m1__Gamma_9,line_p1_m1__Gamma_9,0.0,0.16666666666666666,1,0.9999494254177069,0.99999999050316,False,False,0.02956390380859375,,,0.014781951904296875,,
line_p1_m2__Gamma_4_5,line_p1_m2__Gamma_4_5,0.0,0.16666666666666666,2,0.9999376776200571,0.9999624564672188,False,False,0.03484909818002703,,,0.040573910997436034,,
line_p1_m2__Gamma_6_7,line_p1_m2__Gamma_6_7,0.0,0.16666666666666666,2,0.9999376776200571,0.9999624565609744,False,False,0.26534777525438763,,,0.37570183977802485,,
line_p1_m2__Gamma_8,line_p1_m2__Gamma_8,0.0,0.16666666666666666,1,0.9999376776200571,0.9999999900036043,False,False,0.11897087097167969,,,0.17118453979492188,,
line_p1_m2__Gamma_9,line_p1_m2__Gamma_9,0.0,0.16666666666666666,1,0.9999376776200571,0.99999999050316,False,False,0.0059604644775390625,,,0.027179718017578125,,
line_p1_m3__Gamma_4_5,line_p1_m3__Gamma_4_5,0.0,0.16666666666666666,2,0.9999874278417655,0.9999624564672188,False,False,0.049503873322469985,,,0.05138902172094171,,
line_p1_m3__Gamma_6_7,line_p1_m3__Gamma_6_7,0.0,0.16666666666666666,2,0.9999874278417655,0.9999624565609744,False,False,0.3522004113051641,,,0.32136224392498974,,
line_p1_m3__Gamma_8,line_p1_m3__Gamma_8,0.0,0.16666666666666666,1,0.9999874278417655,0.9999999900036043,False,False,0.15997886657714844,,,0.26297569274902344,,
line_p1_m3__Gamma_9,line_p1_m3__Gamma_9,0.0,0.16666666666666666,1,0.9999874278417655,0.99999999050316,False,False,0.020503997802734375,,,0.03719329833984375,,
line_p1_m4__Gamma_4_5,line_p1_m4__Gamma_4_5,0.0,0.16666666666666666,2,0.9999340806637128,0.9999624564672188,False,False,0.049747280598470896,,,0.07090818661124434,,
line_p1_m4__Gamma_6_7,line_p1_m4__Gamma_6_7,0.0,0.16666666666666666,2,0.9999340806637128,0.9999624565609744,False,False,11.340812682158507,,,11.390504510019804,,
line_p1_m4__Gamma_8,line_p1_m4__Gamma_8,0.0,0.16666666666666666,1,0.9999340806637128,0.9999999900036043,False,False,15.618562698364258,,,15.639781951904297,,
line_p1_m4__Gamma_9,line_p1_m4__Gamma_9,0.0,0.16666666666666666,1,0.9999340806637128,0.99999999050316,False,False,0.025033950805664062,,,0.018596649169921875,,
