rank,pair_code,coupling_type,point_label,qx,qy,qz,n_super,gamma_mode_code,gamma_mode_number,gamma_freq_ref_thz,gamma_freq_fit_thz,target_mode_code,target_mode_number,target_freq_ref_thz,target_freq_fit_thz,phi122_mev,phi112_mev,r2,rmse_ev_supercell,elapsed_sec,source_stage
1,Gamma_p0_m8__line_q_0.333_0.667_0.000_m6,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m6,6,6.717511,4.511811,15.237645,1.830401,0.996961,0.015737,0.492920,screening_refined
2,Gamma_p0_m8__line_q_0.333_0.667_0.000_m9,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m9,9,8.194203,4.693625,9.875924,0.000000,0.982889,0.037022,0.480330,screening_refined
3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m8,8,8.113730,4.538500,7.433428,1.383100,0.989490,0.029083,0.554208,screening_refined
4,Gamma_p0_m8__line_q_0.333_0.667_0.000_m7,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m7,7,7.401886,3.734741,5.344064,0.000000,0.974360,0.044651,0.558874,screening_refined
5,Gamma_p0_m7__line_q_0.333_0.667_0.000_m7,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m7,7,7.401886,3.734741,4.890878,0.005886,0.491633,0.060971,0.535650,screening_refined
6,Gamma_p0_m8__line_q_0.333_0.667_0.000_m4,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m4,4,5.706591,3.080881,-3.949193,0.005886,0.960079,0.054466,0.549526,screening_refined
7,Gamma_p0_m8__line_q_0.333_0.667_0.000_m1,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m1,1,2.679820,1.428818,-3.660801,-0.011771,0.945672,0.063124,0.552471,screening_refined
8,Gamma_p0_m7__line_q_0.333_0.667_0.000_m9,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m9,9,8.194203,4.693625,-2.919224,-0.011771,0.837281,0.039950,0.477625,screening_refined
9,Gamma_p0_m7__line_q_0.333_0.667_0.000_m6,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m6,6,6.717511,4.511811,2.901568,2.842712,0.799393,0.041786,0.467644,screening_refined
10,Gamma_p0_m8__line_q_0.333_0.667_0.000_m2,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m2,2,2.743586,1.610743,-2.065822,-0.005886,0.956717,0.056535,0.575790,screening_refined
11,Gamma_p0_m8__line_q_0.333_0.667_0.000_m3,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m3,3,3.819374,2.466038,-2.001081,-0.694493,0.953337,0.058907,0.476583,screening_refined
12,Gamma_p0_m8__line_q_0.333_0.667_0.000_m5,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m8,8,7.537922,7.280321,line_p4_m5,5,6.513988,3.607164,-1.800973,0.000000,0.963127,0.052788,0.476192,screening_refined
13,Gamma_p0_m7__line_q_0.333_0.667_0.000_m3,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m3,3,3.819374,2.466038,-1.177107,0.353132,0.829083,0.032691,0.472487,screening_refined
14,Gamma_p0_m7__line_q_0.333_0.667_0.000_m8,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m8,8,8.113730,4.538500,1.118251,-0.765119,0.905105,0.030232,0.540062,screening_refined
15,Gamma_p0_m7__line_q_0.333_0.667_0.000_m1,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m1,1,2.679820,1.428818,0.953456,-0.011771,0.446327,0.059061,0.545835,screening_refined
16,Gamma_p0_m7__line_q_0.333_0.667_0.000_m4,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m4,4,5.706591,3.080881,0.935800,0.005886,0.523340,0.055588,0.545446,screening_refined
17,Gamma_p0_m7__line_q_0.333_0.667_0.000_m5,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m7,7,7.517512,5.430690,line_p4_m5,5,6.513988,3.607164,0.459072,0.000000,0.724841,0.045079,0.467377,screening_refined
18,Gamma_p0_m9__line_q_0.333_0.667_0.000_m8,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.749552,line_p4_m8,8,8.113730,4.538500,0.041199,-0.394331,0.980679,0.024879,0.461616,screening_refined
19,Gamma_p0_m9__K_q_0.333_0.333_0.000_m6,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.749552,K_p3_m6,6,6.491797,3.658414,-0.029428,-0.029428,0.941633,0.042163,0.616040,screening_refined
20,Gamma_p0_m9__K_q_0.333_0.333_0.000_m7,Q_gamma*Q_q*Q_-q,K,0.333333,0.333333,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,K_p3_m7,7,7.732005,4.483090,0.025749,-0.025749,-5.550721,0.517446,0.214575,screening_coarse
21,Gamma_p0_m9__line_q_0.333_0.667_0.000_m7,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m7,7,7.401886,3.868193,0.025749,0.025749,-5.409549,0.507666,0.146804,screening_coarse
22,Gamma_p0_m9__line_q_0.333_0.667_0.000_m9,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m9,9,9.386886,7.762306,line_p4_m9,9,8.194203,4.758646,0.025749,0.025749,-6.420549,0.557650,0.150419,screening_coarse
23,Gamma_p0_m5__line_q_0.333_0.667_0.000_m2,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.493128,line_p4_m2,2,2.743586,1.610743,0.023542,-0.035313,0.046019,0.031221,0.463388,screening_refined
24,Gamma_p0_m5__line_q_0.333_0.667_0.000_m3,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.493128,line_p4_m3,3,3.819374,2.466038,-0.023542,0.270735,-0.142200,0.037260,0.544291,screening_refined
25,Gamma_p0_m5__line_q_0.333_0.667_0.000_m1,Q_gamma*Q_q*Q_-q,line,0.333333,0.666667,0.000000,3,Gamma_p0_m5,5,5.286200,3.493128,line_p4_m1,1,2.679820,1.428818,-0.023542,0.011771,0.103325,0.030234,0.614536,screening_refined
26,Gamma_p0_m9__M_q_0.500_0.000_0.000_m4,Q_gamma*Q_q^2,M,0.500000,0.000000,0.000000,2,Gamma_p0_m9,9,9.386886,7.788603,M_p5_m4,4,5.813071,4.152204,0.022888,0.000000,-5.702370,0.516002,0.086302,screening_coarse
27,Gamma_p0_m9__M_q_0.500_0.000_0.000_m2,Q_gamma*Q_q^2,M,0.500000,0.000000,0.000000,2,Gamma_p0_m9,9,9.386886,7.788603,M_p5_m2,2,3.657180,3.196730,0.022888,0.000000,-6.161369,0.505032,0.087084,screening_coarse
28,Gamma_p0_m9__M_q_0.500_0.000_0.000_m5,Q_gamma*Q_q^2,M,0.500000,0.000000,0.000000,2,Gamma_p0_m9,9,9.386886,7.788603,M_p5_m5,5,6.494442,4.893416,0.022888,0.000000,-6.003390,0.550601,0.085953,screening_coarse
29,Gamma_p0_m9__M_q_0.500_0.000_0.000_m6,Q_gamma*Q_q^2,M,0.500000,0.000000,0.000000,2,Gamma_p0_m9,9,9.386886,7.788603,M_p5_m6,6,6.880772,6.283511,0.022888,-0.000000,-6.441191,0.604830,0.086461,screening_coarse
30,Gamma_p0_m9__M_q_0.500_0.000_0.000_m7,Q_gamma*Q_q^2,M,0.500000,0.000000,0.000000,2,Gamma_p0_m9,9,9.386886,7.788603,M_p5_m7,7,7.356503,5.002420,0.022888,0.000000,-5.926203,0.549489,0.087185,screening_coarse
